ID;Name;URL;Suggested URL;Link position;Has equal domain
000000043;Statistics Estonia;https://www.stat.ee;https://WikiMili.com/en/Statistics_Estonia;5.0;0.0
000000043;Statistics Estonia;https://www.stat.ee;https://ec.europa.eu/eurostat/cros/content/statistics-estonia-estonia_en;6.0;0.0
000000043;Statistics Estonia;https://www.stat.ee;https://www.statista.com/topics/3920/estonia/;7.0;0.0
000000043;Statistics Estonia;https://www.stat.ee;https://wikivisually.com/wiki/Statistics_Estonia;8.0;0.0
000000043;Statistics Estonia;https://www.stat.ee;https://www.wikiwand.com/en/Statistics_Estonia;9.0;0.0
000000046;Central Statistics Office;https://www.cso.ie;https://www.cso.ie/;0.0;1.0
000000046;Central Statistics Office;https://www.cso.ie;https://en.wikipedia.org/wiki/Central_Statistics_Office_(Ireland);1.0;0.0
000000046;Central Statistics Office;https://www.cso.ie;http://mospi.gov.in/central-statistics-office-cso-1;2.0;0.0
000000046;Central Statistics Office;https://www.cso.ie;https://cso.gov.tt/;3.0;0.0
000000046;Central Statistics Office;https://www.cso.ie;https://twitter.com/CSOIreland;4.0;0.0
000000046;Central Statistics Office;https://www.cso.ie;https://ec.europa.eu/eurostat/cros/content/central-statistics-office-ireland_en;5.0;0.0
000000046;Central Statistics Office;https://www.cso.ie;https://data.gov.ie/organization/central-statistics-office;6.0;0.0
000000046;Central Statistics Office;https://www.cso.ie;https://www.facebook.com/CSOIreland/;7.0;0.0
000000046;Central Statistics Office;https://www.cso.ie;https://www.stats.gov.lc/;8.0;0.0
000000046;Central Statistics Office;https://www.cso.ie;https://www.csostat.gov.mm/;9.0;0.0
000000049;Statistics Iceland;;https://statice.is/;0.0;0.0
000000049;Statistics Iceland;;https://en.wikipedia.org/wiki/Statistics_Iceland;1.0;0.0
000000049;Statistics Iceland;;https://twitter.com/staticeland;2.0;0.0
000000049;Statistics Iceland;;https://www.statista.com/topics/3079/iceland/;3.0;0.0
000000049;Statistics Iceland;;https://data.oecd.org/iceland.htm;4.0;0.0
000000049;Statistics Iceland;;https://countrymeters.info/en/Iceland;5.0;0.0
000000049;Statistics Iceland;;https://ec.europa.eu/eurostat/documents/64157/4372828/IS-description.pdf/e80a0c58-483e-4ab6-9f5e-24b6ddac1dc7;6.0;0.0
000000049;Statistics Iceland;;https://www.worlddata.info/europe/iceland/index.php;7.0;0.0
000000049;Statistics Iceland;;https://www.wikiwand.com/en/Statistics_Iceland;8.0;0.0
000000049;Statistics Iceland;;https://www.citypopulation.de/en/iceland/cities/;9.0;0.0
000000052;Instituto Nacional de Estadistica;;https://ine.es/;0.0;0.0
000000052;Instituto Nacional de Estadistica;;https://en.wikipedia.org/wiki/Instituto_Nacional_de_Estad%C3%ADstica_(Spain);1.0;0.0
000000052;Instituto Nacional de Estadistica;;https://www.ine.cl/;2.0;0.0
000000052;Instituto Nacional de Estadistica;;https://www.ine.gob.bo/;3.0;0.0
000000052;Instituto Nacional de Estadistica;;https://www.inei.gob.pe/;4.0;0.0
000000052;Instituto Nacional de Estadistica;;https://ine.st/;5.0;0.0
000000052;Instituto Nacional de Estadistica;;http://www.ine.gub.uy/;6.0;0.0
000000052;Instituto Nacional de Estadistica;;https://www.ecuadorencifras.gob.ec/;7.0;0.0
000000052;Instituto Nacional de Estadistica;;https://www.ine.gob.gt/;8.0;0.0
