Has equal domain;ID;Link position;Name;Suggested URL;URL
0.0;000000020;5.0;Statistics Belgium;https://thefactfile.org/belgium-facts/;https://statbel.fgov.be
0.0;000000020;6.0;Statistics Belgium;https://www.nbb.be/en/statistics;https://statbel.fgov.be
0.0;000000020;7.0;Statistics Belgium;https://www.eupedia.com/belgium/trivia.shtml;https://statbel.fgov.be
0.0;000000020;8.0;Statistics Belgium;https://www.nationmaster.com/country-info/profiles/Belgium;https://statbel.fgov.be
0.0;000000020;9.0;Statistics Belgium;https://www.britannica.com/place/Belgium;https://statbel.fgov.be
1.0;000000021;0.0;Statistics Belgium;https://statbel.fgov.be/en;https://statbel.fgov.be
0.0;000000021;1.0;Statistics Belgium;https://www.statista.com/topics/2384/belgium/;https://statbel.fgov.be
0.0;000000021;2.0;Statistics Belgium;https://wonderfulwanderings.com/belgium-facts/;https://statbel.fgov.be
0.0;000000021;3.0;Statistics Belgium;https://en.wikipedia.org/wiki/Statistics_Belgium;https://statbel.fgov.be
0.0;000000021;4.0;Statistics Belgium;https://www.expatica.com/be/about/basics/30-facts-you-didnt-know-about-belgium-108729/;https://statbel.fgov.be
0.0;000000021;5.0;Statistics Belgium;https://thefactfile.org/belgium-facts/;https://statbel.fgov.be
0.0;000000021;6.0;Statistics Belgium;https://www.nbb.be/en/statistics;https://statbel.fgov.be
0.0;000000021;7.0;Statistics Belgium;https://www.eupedia.com/belgium/trivia.shtml;https://statbel.fgov.be
0.0;000000021;8.0;Statistics Belgium;https://www.nationmaster.com/country-info/profiles/Belgium;https://statbel.fgov.be
0.0;000000021;9.0;Statistics Belgium;https://www.britannica.com/place/Belgium;https://statbel.fgov.be
1.0;000000022;0.0;Statistics Belgium;https://statbel.fgov.be/en;https://statbel.fgov.be
0.0;000000022;1.0;Statistics Belgium;https://www.statista.com/topics/2384/belgium/;https://statbel.fgov.be
0.0;000000022;2.0;Statistics Belgium;https://wonderfulwanderings.com/belgium-facts/;https://statbel.fgov.be
0.0;000000022;3.0;Statistics Belgium;https://en.wikipedia.org/wiki/Statistics_Belgium;https://statbel.fgov.be
0.0;000000022;4.0;Statistics Belgium;https://www.expatica.com/be/about/basics/30-facts-you-didnt-know-about-belgium-108729/;https://statbel.fgov.be
0.0;000000022;5.0;Statistics Belgium;https://thefactfile.org/belgium-facts/;https://statbel.fgov.be
0.0;000000022;6.0;Statistics Belgium;https://www.nbb.be/en/statistics;https://statbel.fgov.be
0.0;000000022;7.0;Statistics Belgium;https://www.eupedia.com/belgium/trivia.shtml;https://statbel.fgov.be
0.0;000000022;8.0;Statistics Belgium;https://www.nationmaster.com/country-info/profiles/Belgium;https://statbel.fgov.be
0.0;000000022;9.0;Statistics Belgium;https://www.britannica.com/place/Belgium;https://statbel.fgov.be
0.0;000000023;0.0;Statistics Belgium;https://statbel.fgov.be/en;
0.0;000000023;1.0;Statistics Belgium;https://www.statista.com/topics/2384/belgium/;
0.0;000000023;2.0;Statistics Belgium;https://wonderfulwanderings.com/belgium-facts/;
0.0;000000023;3.0;Statistics Belgium;https://en.wikipedia.org/wiki/Statistics_Belgium;
0.0;000000023;4.0;Statistics Belgium;https://www.expatica.com/be/about/basics/30-facts-you-didnt-know-about-belgium-108729/;
0.0;000000023;5.0;Statistics Belgium;https://thefactfile.org/belgium-facts/;
0.0;000000023;6.0;Statistics Belgium;https://www.nbb.be/en/statistics;
0.0;000000023;7.0;Statistics Belgium;https://www.eupedia.com/belgium/trivia.shtml;
0.0;000000023;8.0;Statistics Belgium;https://www.nationmaster.com/country-info/profiles/Belgium;
0.0;000000023;9.0;Statistics Belgium;https://www.britannica.com/place/Belgium;
1.0;000000024;0.0;Statistisches Bundesamt;https://www.destatis.de/;https://www.destatis.de
0.0;000000024;1.0;Statistisches Bundesamt;https://twitter.com/destatis;https://www.destatis.de
0.0;000000024;2.0;Statistisches Bundesamt;https://en.wikipedia.org/wiki/Statistisches_Bundesamt;https://www.destatis.de
0.0;000000024;3.0;Statistisches Bundesamt;https://www.bmi.bund.de/SharedDocs/behoerden/DE/destatis.html;https://www.destatis.de
0.0;000000024;4.0;Statistisches Bundesamt;https://www.bfs.admin.ch/bfs/de/home.html;https://www.destatis.de
0.0;000000024;5.0;Statistisches Bundesamt;http://www.gbe-bund.de/gbe10/pkg_isgbe5.prc_isgbe?p_uid=gast&p_aid=0&p_sprache=D;https://www.destatis.de
0.0;000000024;6.0;Statistisches Bundesamt;https://de.statista.com/;https://www.destatis.de
0.0;000000024;7.0;Statistisches Bundesamt;https://de.wikipedia.org/wiki/Statistisches_Bundesamt;https://www.destatis.de
0.0;000000024;8.0;Statistisches Bundesamt;https://www-idev.destatis.de/idev/OnlineMeldung;https://www.destatis.de
0.0;000000024;9.0;Statistisches Bundesamt;https://www.statistik-nord.de/;https://www.destatis.de
